customer_id,risk_score,fraud_occurrence
cust100706,0.04,0
cust100707,0.36,0
cust100708,0.16,0
cust100709,0.02,1
cust100710,0.13,1
cust100711,0.0,0
cust100712,0.2,1
cust100713,0.21,0
cust100714,0.23,0
cust100715,0.38,0
cust100716,0.16,0
cust100717,0.3,0
cust100718,0.24,0
cust100719,0.18,0
cust100720,0.0,0
cust100721,0.31,0
cust100722,0.14,0
cust100723,0.2,0
cust100724,0.05,0
cust100725,0.23,0
cust100726,0.21,0
cust100727,0.2,0
cust100728,0.18,0
cust100729,0.33,0
cust100730,0.32,0
cust100731,0.29,0
cust100732,0.6,0
cust100733,0.13,0
cust100734,0.15,0
cust100735,0.08,0
cust100736,0.25,0
cust100737,0.12,0
cust100738,0.0,0
cust100739,0.05,0
cust100740,0.21,0
cust100741,0.32,0
cust100742,0.01,0
cust100743,0.13,1
cust100744,0.18,0
cust100745,0.11,1
cust100746,0.26,0
cust100747,0.2,0
cust100748,0.24,0
cust100749,0.11,0
cust100750,0.38,0
cust100751,0.2,0
cust100752,0.36,0
cust100753,0.15,0
cust100754,0.27,0
cust100755,0.12,0
cust100756,0.09,0
cust100757,0.12,0
cust100758,0.19,0
cust100759,0.17,0
cust100760,0.38,0
cust100761,0.06,0
cust100762,0.07,0
cust100763,0.4,0
cust100764,0.27,0
cust100765,0.0,0
cust100766,0.26,0
cust100767,0.23,0
cust100768,0.0,0
cust100769,0.16,0
cust100770,0.2,0
cust100771,0.29,0
cust100772,0.31,0
cust100773,0.21,0
cust100774,0.32,0
cust100775,0.18,1
cust100776,0.1,0
cust100777,0.09,0
cust100778,0.27,0
cust100779,0.0,0
cust100780,0.28,0
cust100781,0.07,0
cust100782,0.16,0
cust100783,0.26,0
cust100784,0.35,0
cust100785,0.0,1
cust100786,0.1,0
cust100787,0.21,0
cust100788,0.13,0
cust100789,0.3,0
cust100790,0.0,1
cust100791,0.24,0
cust100792,0.25,0
cust100793,0.21,0
cust100794,0.33,0
cust100795,0.05,0
cust100796,0.33,0
cust100797,0.12,0
cust100798,0.29,0
cust100799,0.16,0
cust100800,0.3,0
cust100801,0.29,0
cust100802,0.02,0
cust100803,0.18,0
cust100804,0.19,0
cust100805,0.17,0
cust100806,0.11,0
cust100807,0.42,0
cust100808,0.23,0
cust100809,0.39,0
cust100810,0.13,0
cust100811,0.07,0
cust100812,0.22,0
cust100813,0.13,0
cust100814,0.49,0
cust100815,0.23,0
cust100816,0.34,0
cust100817,0.17,0
cust100818,0.16,0
cust100819,0.2,0
cust100820,0.24,0
cust100821,0.3,0
cust100822,0.19,0
cust100823,0.12,0
cust100824,0.07,0
cust100825,0.19,0
cust100826,0.27,0
cust100827,0.25,0
cust100828,0.2,0
cust100829,0.13,0
cust100830,0.22,0
cust100831,0.27,0
cust100832,0.2,0
cust100833,0.21,0
cust100834,0.18,0
cust100835,0.31,0
cust100836,0.15,0
cust100837,0.22,0
cust100838,0.25,0
cust100839,0.29,0
cust100840,0.38,0
cust100841,0.28,0
cust100842,0.27,0
cust100843,0.02,0
cust100844,0.27,0
cust100845,0.48,0
cust100846,0.1,0
cust100847,0.08,0
cust100848,0.17,0
cust100849,0.32,0
cust100850,0.26,1
cust100851,0.14,1
cust100852,0.2,0
cust100853,0.32,0
cust100854,0.28,0
cust100855,0.49,0
cust100856,0.32,0
cust100857,0.24,0
cust100858,0.27,0
cust100859,0.16,0
cust100860,0.08,0
cust100861,0.22,0
cust100862,0.26,0
cust100863,0.03,0
cust100864,0.14,0
cust100865,0.16,0
cust100866,0.23,0
cust100867,0.17,0
cust100868,0.25,0
cust100869,0.21,0
cust100870,0.33,1
cust100871,0.0,0
cust100872,0.4,0
cust100873,0.37,0
cust100874,0.21,0
cust100875,0.28,0
cust100876,0.27,0
cust100877,0.11,0
cust100878,0.22,0
cust100879,0.29,1
cust100880,0.24,0
cust100881,0.33,0
cust100882,0.21,0
cust100883,0.21,0
cust100884,0.11,0
cust100885,0.16,0
cust100886,0.14,0
cust100887,0.4,0
cust100888,0.23,0
cust100889,0.08,0
cust100890,0.25,0
cust100891,0.18,0
cust100892,0.0,0
cust100893,0.26,0
cust100894,0.01,0
cust100895,0.27,0
cust100896,0.08,0
cust100897,0.03,0
cust100898,0.26,0
cust100899,0.02,0
cust100900,0.15,0
cust100901,0.22,0
cust100902,0.27,0
cust100903,0.29,0
cust100904,0.2,0
cust100905,0.1,0
cust100906,0.43,0
cust100907,0.13,0
cust100908,0.42,0
cust100909,0.15,0
cust100910,0.34,0
cust100911,0.33,0
cust100912,0.07,0
cust100913,0.24,0
cust100914,0.29,0
cust100915,0.28,0
cust100916,0.18,0
cust100917,0.24,0
cust100918,0.15,0
cust100919,0.06,0
cust100920,0.32,0
cust100921,0.13,0
cust100922,0.37,0
cust100923,0.27,0
cust100924,0.09,0
cust100925,0.18,0
cust100926,0.17,0
cust100927,0.1,0
cust100928,0.26,0
cust100929,0.14,0
cust100930,0.4,0
cust100931,0.3,0
cust100932,0.09,0
cust100933,0.2,0
cust100934,0.17,0
cust100935,0.01,0
cust100936,0.31,0
cust100937,0.31,0
cust100938,0.31,0
cust100939,0.15,0
cust100940,0.33,0
cust100941,0.17,0
cust100942,0.31,0
cust100943,0.42,0
cust100944,0.22,0
cust100945,0.03,0
cust100946,0.16,0
cust100947,0.28,0
cust100948,0.35,0
cust100949,0.06,0
cust100950,0.18,0
cust100951,0.23,0
cust100952,0.25,0
cust100953,0.31,0
cust100954,0.09,0
cust100955,0.15,0
cust100956,0.32,1
cust100957,0.25,0
cust100958,0.25,0
cust100959,0.34,1
cust100960,0.21,0
cust100961,0.26,0
cust100962,0.16,0
cust100963,0.04,0
cust100964,0.04,0
cust100965,0.21,0
cust100966,0.18,0
cust100967,0.12,0
cust100968,0.24,0
cust100969,0.09,0
cust100970,0.21,0
cust100971,0.2,0
cust100972,0.1,0
cust100973,0.0,0
cust100974,0.37,0
cust100975,0.24,1
cust100976,0.0,0
cust100977,0.15,0
cust100978,0.25,0
cust100979,0.17,0
cust100980,0.27,0
cust100981,0.08,1
cust100982,0.22,0
cust100983,0.19,0
cust100984,0.18,0
cust100985,0.17,0
cust100986,0.22,0
cust100987,0.31,0
cust100988,0.14,0
cust100989,0.15,0
cust100990,0.22,0
cust100991,0.19,1
cust100992,0.25,0
cust100993,0.29,0
cust100994,0.35,0
cust100995,0.19,0
cust100996,0.0,0
cust100997,0.19,0
cust100998,0.24,0
cust100999,0.18,0
cust101000,0.18,0
cust101001,0.0,0
cust101002,0.26,0
cust101003,0.16,0
cust101004,0.02,0
cust101005,0.1,0
cust101006,0.1,0
cust101007,0.27,0
cust101008,0.27,0
cust101009,0.38,0
cust101010,0.28,0
cust101011,0.04,0
cust101012,0.03,0
cust101013,0.34,0
cust101014,0.39,0
cust101015,0.17,0
cust101016,0.27,0
cust101017,0.02,0
cust101018,0.0,0
cust101019,0.06,0
cust101020,0.16,0
cust101021,0.14,0
cust101022,0.17,0
cust101023,0.14,0
cust101024,0.28,1
cust101025,0.37,0
cust101026,0.2,0
cust101027,0.44,0
cust101028,0.12,0
cust101029,0.14,0
cust101030,0.25,0
cust101031,0.16,0
cust101032,0.34,0
cust101033,0.12,0
cust101034,0.36,0
cust101035,0.22,1
cust101036,0.51,0
cust101037,0.14,0
cust101038,0.18,0
cust101039,0.22,0
cust101040,0.0,0
cust101041,0.27,0
cust101042,0.26,0
cust101043,0.21,1
cust101044,0.01,1
cust101045,0.01,0
cust101046,0.27,0
cust101047,0.34,0
cust101048,0.39,0
cust101049,0.09,0
cust101050,0.08,0
cust101051,0.17,0
cust101052,0.0,0
cust101053,0.13,0
cust101054,0.3,0
cust101055,0.4,0
cust101056,0.23,0
cust101057,0.4,0
cust101058,0.25,0
cust101059,0.22,0
cust101060,0.18,0
cust101061,0.22,0
cust101062,0.17,0
cust101063,0.18,0
cust101064,0.12,0
cust101065,0.23,1
cust101066,0.2,0
cust101067,0.02,0
cust101068,0.17,1
cust101069,0.1,0
cust101070,0.0,0
cust101071,0.26,1
cust101072,0.39,1
cust101073,0.48,0
cust101074,0.39,0
cust101075,0.1,0
cust101076,0.34,0
cust101077,0.33,0
cust101078,0.0,0
cust101079,0.3,0
cust101080,0.28,0
cust101081,0.22,0
cust101082,0.23,0
cust101083,0.21,0
cust101084,0.4,0
cust101085,0.15,0
cust101086,0.18,0
cust101087,0.2,1
cust101088,0.23,0
cust101089,0.0,0
cust101090,0.37,0
cust101091,0.23,0
cust101092,0.27,0
cust101093,0.22,0
cust101094,0.18,0
cust101095,0.16,0
cust101096,0.21,0
cust101097,0.22,0
cust101098,0.34,0
cust101099,0.24,0
cust101100,0.18,1
cust101101,0.44,0
cust101102,0.05,0
cust101103,0.04,0
cust101104,0.24,0
cust101105,0.17,0
cust101106,0.0,0
cust101107,0.16,0
cust101108,0.11,0
cust101109,0.34,0
cust101110,0.13,0
cust101111,0.33,0
cust101112,0.26,0
cust101113,0.18,0
cust101114,0.2,0
cust101115,0.25,1
cust101116,0.0,0
cust101117,0.24,0
cust101118,0.15,0
cust101119,0.42,0
cust101120,0.12,0
cust101121,0.34,0
cust101122,0.0,0
cust101123,0.3,0
cust101124,0.23,0
cust101125,0.17,0
cust101126,0.19,0
cust101127,0.17,0
cust101128,0.25,0
cust101129,0.18,1
cust101130,0.0,0
cust101131,0.18,0
cust101132,0.47,0
cust101133,0.21,0
cust101134,0.23,0
cust101135,0.15,0
cust101136,0.22,0
cust101137,0.22,0
cust101138,0.17,0
cust101139,0.3,0
cust101140,0.09,0
cust101141,0.18,1
cust101142,0.26,0
cust101143,0.17,0
cust101144,0.05,0
cust101145,0.27,1
cust101146,0.08,0
cust101147,0.15,0
cust101148,0.1,0
cust101149,0.19,0
cust101150,0.15,0
cust101151,0.14,0
cust101152,0.28,0
cust101153,0.41,0
cust101154,0.16,0
cust101155,0.26,1
cust101156,0.16,0
cust101157,0.21,0
cust101158,0.34,0
cust101159,0.21,1
cust101160,0.1,0
cust101161,0.11,0
cust101162,0.13,0
cust101163,0.2,0
cust101164,0.3,0
cust101165,0.04,0
cust101166,0.08,1
cust101167,0.09,0
cust101168,0.0,0
cust101169,0.36,0
cust101170,0.2,0
cust101171,0.43,0
cust101172,0.03,0
cust101173,0.36,0
cust101174,0.12,0
cust101175,0.15,0
cust101176,0.08,0
cust101177,0.09,0
cust101178,0.04,0
cust101179,0.23,0
cust101180,0.04,1
cust101181,0.17,0
cust101182,0.2,0
cust101183,0.28,0
cust101184,0.21,0
cust101185,0.24,0
cust101186,0.26,0
cust101187,0.2,0
cust101188,0.24,0
cust101189,0.08,0
cust101190,0.11,0
cust101191,0.43,0
cust101192,0.2,0
cust101193,0.11,0
cust101194,0.37,0
cust101195,0.18,0
cust101196,0.12,0
cust101197,0.03,0
cust101198,0.29,0
cust101199,0.07,0
cust101200,0.14,0
cust101201,0.28,1
cust101202,0.22,0
cust101203,0.19,0
cust101204,0.17,0
cust101205,0.34,0
cust101206,0.47,0
cust101207,0.13,0
cust101208,0.27,0
cust101209,0.43,0
cust101210,0.33,0
cust101211,0.12,0
cust101212,0.15,0
cust101213,0.13,0
cust101214,0.09,0
cust101215,0.13,0
cust101216,0.23,0
cust101217,0.13,0
cust101218,0.31,0
cust101219,0.21,0
cust101220,0.15,0
cust101221,0.31,0
cust101222,0.24,0
cust101223,0.23,0
cust101224,0.32,0
cust101225,0.27,0
cust101226,0.19,0
cust101227,0.31,0
cust101228,0.24,0
cust101229,0.55,0
cust101230,0.33,0
cust101231,0.34,0
cust101232,0.35,0
cust101233,0.21,0
cust101234,0.36,1
cust101235,0.2,0
cust101236,0.1,0
cust101237,0.13,0
cust101238,0.26,0
cust101239,0.01,0
cust101240,0.23,0
cust101241,0.11,0
cust101242,0.29,0
cust101243,0.11,0
cust101244,0.42,0
cust101245,0.29,0
cust101246,0.05,0
cust101247,0.41,0
cust101248,0.17,0
cust101249,0.11,0
cust101250,0.08,0
cust101251,0.27,0
cust101252,0.38,0
cust101253,0.13,0
cust101254,0.08,0
cust101255,0.06,0
cust101256,0.38,0
cust101257,0.4,0
cust101258,0.16,0
cust101259,0.26,0
cust101260,0.2,0
cust101261,0.19,0
cust101262,0.32,0
cust101263,0.25,0
cust101264,0.24,0
cust101265,0.16,0
cust101266,0.3,0
cust101267,0.17,0
cust101268,0.21,0
